"","year","minwage","new pay gap","new disp inc gap ft","new disp inc gap","new abs poverty rate","relative poverty line","new relative poverty rate","new in-work poverty rate","new social tax","social tax change","new income tax","income tax change","total tax change","new subsistence benefits","subsistence benefit change","new all benefits","total benefits change","other benefits change"
"250",2019,790,19.9369190576107,9.53518401379113,14.7954240410288,0.45,590.584,17.8,6.66,352196867.0947,2.52649393017963,148775900.2734,3.35238173881065,2.77038000092519,3305676.7992,-1.81013167818021,253056580.4141,-0.0240760045607402,-1.54193642742939e-07
"251",2019,791,19.9282983943574,9.52911063913619,14.7928883297898,0.45,590.695384615385,17.82,6.66,352252045.8751,2.54255678428851,148808095.9686,3.37474760434763,2.78830414499986,3305462.5829,-1.81649463244558,253056366.1978,-0.0241606357230353,-1.54193628532084e-07
"252",2019,792,19.9271208048894,9.52304993362836,14.7903584887729,0.45,590.876,17.82,6.66,352308481.9028,2.55898563017564,148840148.103,3.39701374035462,2.80645675256049,3305246.6378,-1.82290893796353,253056150.2527,-0.0242459498882255,-1.54193642742939e-07
"253",2019,793,19.9187522129559,9.51702616924678,14.787865051744,0.45,591.0552,17.81,6.65,352362978.225,2.57484981685438,148872330.799,3.41937057554274,2.82423822935678,3305030.6927,-1.82932324348153,253055934.3076,-0.0243312640534299,-1.54193642742939e-07
"254",2019,794,19.9039563269405,9.51097321358755,14.7853556568922,0.45,591.323076923077,17.82,6.65,352418872.4876,2.59112095186605,148904502.1855,3.4417195541912,2.84230416190353,3304817.1351,-1.83566663211171,253055720.75,-0.0244156349808691,-1.54193642742939e-07
"255",2019,795,19.9170543781596,9.50489873566958,14.782833879438,0.45,591.533076923077,17.8,6.64,352474877.9319,2.60742445249753,148937185.4418,3.46442412109604,2.8604979082629,3304601.19,-1.84208093762967,253055504.8049,-0.0245009491460735,-1.54193642742939e-07
"256",2019,796,19.9093798961455,9.49883040907317,14.7803185172082,0.45,591.7032,17.8,6.64,352531046.5239,2.62377544634441,148969588.2805,3.48693388610897,2.87866759768151,3304385.2449,-1.84849524314764,253055288.8598,-0.0245862633112637,-1.54193628532084e-07
"257",2019,797,19.8886039612738,9.49272589717291,14.777794989588,0.45,591.744,17.78,6.63,352587458.0418,2.64019715729054,149002211.8699,3.50959700331521,2.89693240648285,3304169.2998,-1.85490954866562,253055072.9147,-0.0246715774764539,-1.54193642742939e-07
"258",2019,798,19.8890510523881,9.48656949595581,14.7752444254321,0.45,591.845217391304,17.8,6.63,352644430.1288,2.65678205306254,149035092.8951,3.53243895730232,2.91536502215887,3303955.0835,-1.86127250293097,253054858.6984,-0.0247562086387489,-1.54193642742939e-07
"259",2019,799,19.8892998949919,9.48040973832362,14.7726938863569,0.45,592.176,17.81,6.64,352702431.3923,2.67366654791692,149068020.4613,3.55531324262257,2.9340183122976,3303739.1384,-1.86768680844895,253054642.7533,-0.0248415228039391,-1.54193628532084e-07
"260",2019,800,19.8803714478708,9.47426679619623,14.7701526086336,0.45,592.302,17.81,6.64,352759665.0984,2.6903276024841,149101241.7696,3.57839158616461,2.95257440318397,3303523.1933,-1.87410111396693,253054426.8082,-0.0249268369691436,-1.54193642742939e-07
"261",2019,801,19.8827384859086,9.4680636031942,14.7675814492884,0.45,592.576,17.82,6.64,352817095.9871,2.70704605801802,149134418.3178,3.60143883553792,2.97116176227344,3303308.977,-1.8804640682323,253054212.5919,-0.0250114681314386,-1.54193642742939e-07
"262",2019,802,19.8729535470507,9.46180377002005,14.7649752544099,0.45,592.887,17.85,6.69,352874712.9812,2.72381868988325,149167690.0461,3.62455220509611,2.98980682473447,3303093.6906,-1.88685880811509,253053997.3055,-0.0250965220617871,-1.54193642742939e-07
"263",2019,803,19.86292477498,9.4555424065765,14.7623674788059,0.45,592.987826086956,17.85,6.69,352932401.666,2.74061219131551,149200876.6528,3.6476064419582,3.00844913195849,3302877.7455,-1.89327311363306,253053781.3604,-0.0251818362269773,-1.54193642742939e-07
"264",2019,804,19.8616044704036,9.44923545408676,14.7597294984804,0.45,593.106666666667,17.86,6.71,352989908.9525,2.75735288667978,149234297.5191,3.67082341544339,3.02710228323681,3302661.8004,-1.89968741915102,253053565.4153,-0.0252671503921533,-1.54193628532084e-07
"265",2019,805,19.8564465466735,9.44289897333499,14.7570733908613,0.45,593.106666666667,17.86,6.71,353047737.4005,2.77418707396761,149268084.6869,3.69429485307488,3.04589646180914,3302447.5841,-1.90605037341639,253053351.199,-0.0253517815544626,-1.54193642742939e-07
"266",2019,806,19.8459055225679,9.43655621919905,14.7544135694983,0.45,593.13,17.86,6.71,353106608.1988,2.79132469530528,149301475.8718,3.71749120733762,3.06482323725628,3302231.639,-1.91246467893438,253053135.2539,-0.025437095719667,-1.54193642742939e-07
"267",2019,807,19.836618580894,9.42815262089797,14.7503000613487,0.45,593.322857142857,17.9,6.74,353164652.9252,2.80822184245486,149335059.302,3.74082111152067,3.08361998846897,3302015.6939,-1.91887898445235,253052919.3088,-0.025522409884843,-1.54193628532084e-07
"268",2019,808,19.8388677801863,9.42177135242385,14.7476183287716,0.45,593.5,17.91,6.74,353222737.5286,2.82513059802402,149368641.0581,3.76414985273166,3.10242457668764,3301801.4776,-1.92524193871772,253052705.0925,-0.0256070410471523,-1.54193642742939e-07
"269",2019,809,19.8296534434345,9.4153578956769,14.7449182907287,0.45,593.522857142857,17.91,6.74,353280974.705,2.84208376845379,149402558.4312,3.78771174202801,3.1213293130083,3301586.1912,-1.9316366786005,253052489.8061,-0.0256920949774866,-1.54193628532084e-07
"270",2019,810,19.8198881871263,9.40893421394854,14.7422106547066,0.45,593.72,17.9,6.72,353339032.6894,2.85898477508194,149436317.738,3.8111638250416,3.14016486360491,3301370.2461,-1.93805098411848,253052273.861,-0.025777409142691,-1.54193642742939e-07
"271",2019,811,19.8197783892583,9.40254528059998,14.7395281500331,0.45,593.72,17.9,6.72,353397388.6005,2.87597250985237,149470139.1226,3.83465903256975,3.15907426611857,3301156.0298,-1.94441393838383,253052059.6447,-0.0258620403050003,-1.54193642742939e-07
"272",2019,812,19.7953875491059,9.39617070101838,14.7368597241966,0.45,593.72,17.9,6.72,353456786.0348,2.89326343789912,149503883.7706,3.8581009323353,3.17818158654704,3300940.0847,-1.95082824390181,253051843.6996,-0.0259473544701621,-1.54193628532084e-07
"273",2019,813,19.7776709738655,9.3898072116645,14.7342004649967,0.45,593.72,17.9,6.72,353513968.3478,2.90990953164514,149537818.6668,3.88167499466584,3.19687352116716,3300724.1396,-1.95724254941979,253051627.7545,-0.0260326686353665,-1.54193642742939e-07
"274",2019,814,19.7709144494943,9.3834263021623,14.7315308497603,0.45,593.904,17.9,6.72,353572613.89,2.92698157966193,149572201.6137,3.90556031108326,3.21595753889922,3300508.1945,-1.96365685493777,253051411.8094,-0.0261179828005709,-1.54193642742939e-07
"275",2019,815,19.7609664858901,9.37699757296073,14.7288272453293,0.45,594.023076923077,17.9,6.72,353631367.8276,2.94408518219086,149606313.3143,3.92925719677304,3.23500814912896,3300293.9782,-1.97001980920312,253051197.5931,-0.0262026139628517,-1.54193628532084e-07
"276",2019,816,19.7509813954644,9.37054479426478,14.7261127431689,0.45,594.023076923077,17.9,6.72,353689996.236,2.96115224246184,149640425.7258,3.95295457631434,3.2540331539267,3300078.0331,-1.9764341147211,253050981.648,-0.0262879281280561,-1.54193642742939e-07
"277",2019,817,19.7509813954644,9.36406415237838,14.7233785820669,0.45,594.045,17.9,6.71,353748919.9509,2.9783052681201,149674678.115,3.97674919625992,3.27314745364336,3299862.7467,-1.98282885460389,253050766.3616,-0.0263729820584047,-1.54193628532084e-07
"278",2019,818,19.7368886421451,9.35756493037859,14.7206339257877,0.45,594.1875,17.9,6.71,353807900.4347,2.99547481952526,149709305.5684,4.0008043676678,3.29235034031458,3299648.5304,-1.98919180886925,253050552.1453,-0.0264576132206997,-1.54193642742939e-07
"279",2019,819,19.7249338688018,9.35095669913575,14.7178193143172,0.45,594.331875,17.9,6.71,353868127.5225,3.01300726438402,149743628.4993,4.02464799187207,3.311746487139,3299432.5853,-1.99560611438724,253050336.2002,-0.0265429273858899,-1.54193642742939e-07
"280",2019,820,19.7258146203288,9.34435157471512,14.7150100687021,0.45,594.474375,17.9,6.71,353927463.8854,3.03028041420187,149778138.1014,4.04862129375321,3.33099820322582,3299216.6402,-2.00202041990521,253050120.2551,-0.0266282415510801,-1.54193628532084e-07
"281",2019,821,19.7160704565797,9.33775875722161,14.712210652313,0.45,594.506086956522,17.9,6.71,353986922.2767,3.04758908717504,149812701.4627,4.07263194134258,3.35028598067095,3299000.6951,-2.00843472542319,253049904.31,-0.0267135557162845,-1.54193642742939e-07
"282",2019,822,19.7073271853394,9.33117775743128,14.7094232048824,0.45,594.534285714286,17.88,6.69,354046451.4899,3.06491837680264,149847203.5013,4.09659998897396,3.36957570679759,3298786.4788,-2.01479767968854,253049690.0937,-0.0267981868785796,-1.54193642742939e-07
"283",2019,823,19.6978669186012,9.32461705777738,14.706648930465,0.45,594.785714285714,17.88,6.69,354105883.5005,3.08221937020528,149882262.1875,4.12095473132635,3.38895968422955,3298570.5337,-2.02121198520652,253049474.1486,-0.0268835010437698,-1.54193628532084e-07
"284",2019,824,19.6845003644404,9.31802043829633,14.7038566280736,0.45,594.907826086957,17.88,6.69,354165690.5352,3.09962953523808,149917062.0226,4.14512965371024,3.40836749358238,3298355.2473,-2.0276067250893,253049258.8622,-0.0269685549741183,-1.54193642742939e-07
"285",2019,825,19.674643873838,9.31136801026068,14.7010335076659,0.45,594.907826086957,17.88,6.69,354225774.9149,3.11712043696423,149951882.9678,4.16931924096329,3.42783652850683,3298141.031,-2.03396967935467,253049044.6459,-0.0270531861364134,-1.54193628532084e-07
"286",2019,826,19.6650352130329,9.30468001348486,14.6981869968313,0.45,594.907826086957,17.88,6.69,354286979.9178,3.13493755842272,149986900.3023,4.19364525691125,3.44757573754832,3297925.0859,-2.04038398487266,253048828.7008,-0.0271385003016036,-1.54193642742939e-07
"287",2019,827,19.6658066000361,9.29799971650201,14.6953489206595,0.45,594.907826086957,17.85,6.66,354347263.2464,3.15248637529544,150021961.5434,4.21800177411426,3.46713487987572,3297709.1408,-2.04679829039061,253048612.7557,-0.0272238144667938,-1.54193642742939e-07
"288",2019,828,19.6556746472155,9.29129125298318,14.6924914584226,0.45,595.053333333333,17.85,6.66,354407610.4173,3.17005377702171,150057334.3312,4.24257471812706,3.48677103012187,3297493.1957,-2.05321259590859,253048396.8106,-0.027309128631984,-1.54193628532084e-07
"289",2019,829,19.6431191275295,9.28453084682459,14.6896016712059,0.45,595.383636363636,17.88,6.68,354467829.611,3.18758392386343,150092494.7821,4.26700015488696,3.50633736777212,3297278.9794,-2.05957555017396,253048182.5943,-0.0273937597942933,-1.54193642742939e-07
"290",2019,830,19.6194055809076,9.27768636087466,14.686652480757,0.45,595.383636363636,17.88,6.68,354528465.7649,3.20523545017046,150127781.1209,4.29151304407883,3.52601506617717,3297063.0343,-2.06598985569192,253047966.6492,-0.0274790739594835,-1.54193642742939e-07
"291",2019,831,19.6111812865742,9.27083461689746,14.6837099095045,0.45,595.684,17.93,6.7,354589404.933,3.22297518561972,150163107.6084,4.31605382396913,3.54576316158567,3296847.0892,-2.07240416120992,253047750.7041,-0.0275643881246737,-1.54193628532084e-07
"292",2019,832,19.5905841845068,9.26395456873666,14.6807556294451,0.45,595.684,17.93,6.7,354649124.9896,3.24036003083714,150199042.2605,4.34101708666603,3.56538592633916,3296633.5316,-2.0787475498401,253047537.1465,-0.027648759052127,-1.54193642742939e-07
"293",2019,833,19.5894119805395,9.25704487104064,14.6777827099591,0.45,595.823571428572,17.97,6.71,354711474.5876,3.25851035038323,150234706.4326,4.36579245097235,3.58549263284023,3296417.5865,-2.08516185535807,253047321.2014,-0.0277340732173172,-1.54193628532084e-07
"294",2019,834,19.5801418418754,9.25012636857233,14.674810928622,0.45,595.896,17.98,6.71,354773014.239,3.27642488990703,150270397.0073,4.39058615676808,3.60543860183246,3296201.6414,-2.09157616087604,253047105.2563,-0.0278193873825074,-1.54193642742939e-07
"295",2019,835,19.5692116269498,9.2432158816133,14.6718454086696,0.45,595.896,17.98,6.71,354834609.6554,3.29435566293679,150306205.2594,4.41546161128484,3.62542015108477,3295985.6963,-2.09799046639401,253046889.3112,-0.0279047015477119,-1.54193642742939e-07
"296",2019,836,19.5725841045839,9.23625571453173,14.6688473834921,0.45,595.896,17.98,6.71,354896054.2085,3.31224251880926,150342060.0409,4.44036938907639,3.6453802971087,3295771.48,-2.10435342065938,253046675.0949,-0.0279893327099927,-1.54193628532084e-07
"297",2019,837,19.5627682530034,9.22929004925005,14.6658488796674,0.45,595.942857142857,17.95,6.7,354957856.9083,3.33023363320551,150378278.9365,4.46553011146041,3.66548860890472,3295555.5349,-2.11076772617734,253046459.1498,-0.0280746468751971,-1.54193642742939e-07
"298",2019,838,19.551252408936,9.21998663411244,14.6611975687989,0.45,595.942857142857,17.95,6.7,355019703.993,3.34823766829645,150414278.7763,4.49053865907267,3.68556108842415,3295339.5898,-2.11718203169531,253046243.2047,-0.0281599610403873,-1.54193642742939e-07
"299",2019,839,19.5518843054623,9.21305343478106,14.6582251846041,0.45,596.169,17.95,6.7,355082736.9343,3.36658691293029,150450347.2823,4.51559490806198,3.70589092282047,3295125.3735,-2.12354498596069,253046028.9884,-0.0282445922026824,-1.54193628532084e-07
"300",2019,840,19.5364387083918,9.20611622113187,14.6552527353317,0.45,596.436,17.96,6.71,355144829.8348,3.38466250638672,150486385.1556,4.54062987697505,3.72602163165361,3294910.0871,-2.12993972584347,253045813.702,-0.0283296461330309,-1.54193642742939e-07
"301",2019,841,19.5253423015413,9.19910780863309,14.652233152464,0.45,596.58,17.96,6.71,355207053.3544,3.40277612379963,150522613.2516,4.56579699073863,3.74621815850288,3294694.142,-2.13635403136145,253045597.7569,-0.0284149602982211,-1.54193628532084e-07
"302",2019,842,19.5148926843017,9.19208738393054,14.6492069575331,0.45,596.697142857143,17.96,6.71,355269134.8615,3.42084840057304,150559251.9596,4.59124935048693,3.76646978629677,3294478.1969,-2.14276833687943,253045381.8118,-0.0285002744634113,-1.54193642742939e-07
"303",2019,843,19.526149362666,9.18504837019685,14.6461709029866,0.45,597.066428571429,18.01,6.73,355331537.2502,3.43901408778956,150595610.1162,4.61650681539446,3.78672968749439,3294263.9806,-2.14913129114478,253045167.5955,-0.0285849056257206,-1.54193642742939e-07
"304",2019,844,19.5160602269585,9.17805604174383,14.6431778708179,0.45,597.066428571429,18.01,6.73,355394336.4623,3.45729529253536,150632123.2142,4.64187191576372,3.80710277863338,3294048.0355,-2.15554559666278,253044951.6504,-0.0286702197909108,-1.54193628532084e-07
"305",2019,845,19.494386616659,9.17110611309796,14.6402197671292,0.45,597.231,18.03,6.73,355457432.1687,3.47566280844373,150668924.8086,4.66743743024581,3.8275958757297,3293832.0904,-2.16195990218073,253044735.7053,-0.028755533956101,-1.54193642742939e-07
"306",2019,846,19.497583355042,9.16410849545117,14.6372376238964,0.45,597.306,18.03,6.73,355521793.987,3.49439889666537,150706183.9829,4.69332081860676,3.8484425738056,3293617.8741,-2.1683228564461,253044521.489,-0.0288401651184103,-1.54193642742939e-07
"307",2019,847,19.4934395686151,9.15705351083471,14.6342191785166,0.45,597.306,18.03,6.73,355585229.1932,3.51286524287983,150743088.2913,4.71895768696081,3.86902638737041,3293402.5877,-2.1747175963289,253044306.2026,-0.0289252190487304,-1.54193642742939e-07
"308",2019,848,19.4820812797032,9.14997615408764,14.6311868886204,0.45,597.312,18.03,6.73,355648460.3002,3.53127217466636,150780199.902,4.7447385651068,3.88961085802444,3293186.6426,-2.18113190184687,253044090.2575,-0.0290105332139348,-1.54193642742939e-07
"309",2019,849,19.4809189831637,9.14283732417736,14.6281147555111,0.45,597.312,18.03,6.73,355712242.5822,3.54983955660325,150817406.7756,4.77058562095756,3.91032794001575,3292970.6975,-2.18754620736485,253043874.3124,-0.029095847379125,-1.54193628532084e-07
"310",2019,850,19.4669751539448,9.13564562747107,14.6250108198654,0.45,597.36,18.03,6.73,355776121.8387,3.56843516836391,150854649.9045,4.79645786282032,3.93107235298804,3292756.4812,-2.1939091616302,253043660.0961,-0.02918047854142,-1.54193642742939e-07
"311",2019,851,19.4470089485241,9.12844099063559,14.6219010347323,0.45,597.5825,18.06,6.73,355840174.6805,3.58708131178417,150892513.6312,4.82276122464678,3.95197968599173,3292540.5361,-2.20032346714818,253043444.151,-0.0292657927066244,-1.54193642742939e-07
"312",2019,852,19.4461479189579,9.12122092338848,14.6187816257812,0.45,597.762,18.07,6.75,355902850.6248,3.60532663257834,150930060.6459,4.84884457140723,3.97253958914845,3292324.591,-2.20673777266614,253043228.2059,-0.0293511068718146,-1.54193628532084e-07
"313",2019,853,19.4346689622936,9.11396401170001,14.6156345533669,0.45,597.792,18.09,6.75,355968108.0689,3.62432344252049,150967558.265,4.87489360378677,3.99361893233824,3292110.3747,-2.2131007269315,253043013.9896,-0.0294357380341097,-1.54193642742939e-07
"314",2019,854,19.4206908540788,9.10669179638378,14.6124820211936,0.45,597.812142857143,18.08,6.74,356032388.1154,3.64303572651005,151005198.6955,4.90104184509939,4.01452706713803,3291894.4296,-2.21951503244949,253042798.0445,-0.0295210521992999,-1.54193642742939e-07
"315",2019,855,19.4195226774677,9.0994300778184,14.6093372731065,0.45,598.002857142857,18.08,6.74,356096416.9389,3.66167487806779,151043291.2311,4.92750415702959,4.03547641122324,3291679.1432,-2.22590977233229,253042582.7581,-0.0296061061296484,-1.54193642742939e-07
"316",2019,856,19.3980318816306,9.09220558544868,14.6062228909685,0.45,598.193571428572,18.08,6.74,356160996.3218,3.68047430057125,151081044.3209,4.95373066106458,4.05646906350067,3291463.1981,-2.23232407785025,253042366.813,-0.0296914202948528,-1.54193642742939e-07
"317",2019,857,19.3817078998909,9.08491399080012,14.6030678176131,0.45,598.384285714286,18.09,6.73,356225742.6526,3.69932232254978,151119033.3881,4.98012109505248,4.07754437253887,3291248.9818,-2.23868703211562,253042152.5967,-0.0297760514571337,-1.54193628532084e-07
